H2H will be built from this league lineage:
  • 2020: NFL UK 2020 [399.l.857293]
  • 2021: NFL UK 2021/22 [406.l.787594]
  • 2022: NFL UK 2022/23 [414.l.336160]
  • 2023: NFL UK 2022/23 [423.l.39167]
  • 2024: Can anyone stop the 3-peat? [449.l.66930]
  • 2025: Kyle Pitts Breakout Season [461.l.54130]
  · 2020: weeks 1–16 (NFL UK 2020)
2021 w9: Jake vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2021 w9: Jack C vs Jack E -> WINNER Jack C  (playoffs=False, cons=False)
2021 w10: Conor H vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2021 w10: Colin C vs Graham S -> WINNER Graham S  (playoffs=False, cons=False)
2021 w10: Jake vs Simon L -> WINNER Jake  (playoffs=False, cons=False)
2021 w10: Jack C vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2021 w10: Andrew S vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2021 w11: Colin C vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2021 w11: Andrew S vs Conor H -> WINNER Conor H  (playoffs=False, cons=False)
2021 w11: Graham S vs Jake -> WINNER Graham S  (playoffs=False, cons=False)
2021 w11: Jack C vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2021 w11: Jack E vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2021 w12: Jake vs Jamie L -> WINNER Jake  (playoffs=False, cons=False)
2021 w12: Colin C vs Conor H -> WINNER Conor H  (playoffs=False, cons=False)
2021 w12: Graham S vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2021 w12: Jack E vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2021 w12: Andrew S vs Kevin G -> WINNER Andrew S  (playoffs=False, cons=False)
2021 w13: Jack C vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2021 w13: Conor H vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2021 w13: Andrew S vs Colin C -> WINNER Andrew S  (playoffs=False, cons=False)
2021 w13: Graham S vs Jack E -> WINNER Graham S  (playoffs=False, cons=False)
2021 w13: Kevin G vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2021 w14: Jack E vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2021 w14: Conor H vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2021 w14: Colin C vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2021 w14: Graham S vs Kevin G -> WINNER Graham S  (playoffs=False, cons=False)
2021 w14: Andrew S vs Simon L -> WINNER Andrew S  (playoffs=False, cons=False)
2021 w15: Jamie L vs Kevin G -> WINNER Kevin G  (playoffs=False, cons=False)
2021 w15: Conor H vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2021 w15: Colin C vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2021 w15: Andrew S vs Jake -> WINNER Andrew S  (playoffs=False, cons=False)
2021 w15: Graham S vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2021 w16: Andrew S vs Jamie L -> WINNER Jamie L  (playoffs=True, cons=True)
2021 w16: Conor H vs Jake -> WINNER Jake  (playoffs=True, cons=False)
2021 w16: Jack C vs Simon L -> WINNER Simon L  (playoffs=True, cons=False)
2021 w16: Graham S vs Jack E -> WINNER Graham S  (playoffs=True, cons=True)
2021 w17: Graham S vs Jamie L -> WINNER Graham S  (playoffs=True, cons=True)
2021 w17: Conor H vs Jack C -> WINNER Jack C  (playoffs=True, cons=False)
2021 w17: Jake vs Simon L -> WINNER Jake  (playoffs=True, cons=False)
