season,date,type,player,position,nfl,from_team,to_team,note
2025,"Oct 29, 3:38 am",add,Troy Franklin,WR,Den,Waivers,Dak to the Future,Waiver
2025,"Oct 29, 3:38 am",add,Tyrone Tracy Jr.,RB,NYG,Waivers,My Ball Zach Ertz,Waiver
2025,"Oct 29, 3:40 am",add,Jake Bates,K,Det,Free Agent,Grease the Breece,Free Agent
2025,"Oct 29, 4:15 am",add,Isaiah Davis,RB,NYJ,Free Agent,Whole lotta Hurts,Free Agent
2025,"Oct 29, 5:45 pm",add,Kareem Hunt,RB,KC,Free Agent,Drake it til you make it,Free Agent
2025,"Oct 29, 7:56 am",add,Joshua Karty,K,LAR,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Oct 3, 1:11 pm",add,Tre Tucker,WR,LV,Free Agent,The Flea Flickers,Free Agent
2025,"Oct 3, 2:06 pm",add,Rico Dowdle,RB,Car,Free Agent,Drake it til you make it,Free Agent
2025,"Oct 3, 2:43 pm",add,Kansas City,DEF,KC,Free Agent,Grease the Breece,Free Agent
2025,"Oct 3, 6:48 am",add,Sean Tucker,RB,TB,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Oct 30, 3:47 pm",add,Bhayshul Tuten,RB,Jax,Free Agent,Whole lotta Hurts,Free Agent
2025,"Oct 31, 3:58 pm",add,Will Reichard,K,Min,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Oct 31, 4:50 pm",add,J.J. McCarthy,QB,Min,Free Agent,Whole lotta Hurts,Free Agent
2025,"Oct 31, 9:26 am",add,Jameson Williams,WR,Det,Free Agent,Never Starting Najee,Free Agent
2025,"Oct 4, 2:19 pm",add,Isaiah Davis,RB,NYJ,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Oct 4, 3:13 am",add,New England,DEF,NE,Waivers,Dak to the Future,Waiver
2025,"Oct 4, 3:25 am",add,Jalen Tolbert,WR,Dal,Free Agent,Whole lotta Hurts,Free Agent
2025,"Oct 5, 3:09 pm",add,Jason Myers,K,Sea,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Oct 5, 3:11 am",add,Dallas Goedert,TE,Phi,Waivers,Dak to the Future,Waiver
2025,"Oct 5, 4:08 pm",add,Hollywood Brown,WR,KC,Free Agent,The Flea Flickers,Free Agent
2025,"Oct 5, 4:36 am",add,David Njoku,TE,Cle,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Oct 5, 4:38 am",add,New York,DEF,NYG,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Oct 5, 4:39 am",add,Ollie Gordon II,RB,Mia,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Oct 8, 3:30 am",add,Brandon McManus,K,GB,Waivers,Whole lotta Hurts,Waiver
2025,"Oct 8, 3:30 am",add,Calvin Ridley,WR,Ten,Waivers,Unsolicited Nix Pics,Waiver
2025,"Oct 8, 3:30 am",add,Green Bay,DEF,GB,Waivers,Never Starting Najee,Waiver
2025,"Oct 8, 3:30 am",add,Hassan Haskins,RB,LAC,Waivers,My Ball Zach Ertz,Waiver
2025,"Oct 8, 3:30 am",add,Jerome Ford,RB,Cle,Waivers,Drake it til you make it,Waiver
2025,"Oct 8, 3:30 am",add,Kenneth Gainwell,RB,Pit,Waivers,Belichick Daycare Centre,Waiver
2025,"Oct 8, 3:30 am",add,Las Vegas,DEF,LV,Waivers,The Flea Flickers,Waiver
2025,"Oct 8, 3:30 am",add,Pittsburgh,DEF,Pit,Waivers,Drake it til you make it,Waiver
2025,"Oct 8, 3:30 am",add,Theo Johnson,TE,NYG,Waivers,My Ball Zach Ertz,Waiver
2025,"Oct 8, 4:10 am",add,Brock Purdy,QB,SF,Free Agent,Whole lotta Hurts,Free Agent
2025,"Oct 8, 5:22 am",add,Washington,DEF,Was,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Oct 8, 5:28 am",add,Eddy Pineiro,K,SF,Free Agent,Never Starting Najee,Free Agent
2025,"Oct 8, 7:58 am",add,Joey Slye,K,Ten,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Oct 9, 1:40 am",add,Matt Gay,K,Was,Free Agent,Whole lotta Hurts,Free Agent
2025,"Oct 9, 5:08 pm",add,Dallas,DEF,Dal,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Sep 10, 3:42 am",add,DJ Giddens,RB,Ind,Waivers,Never Starting Najee,Waiver
2025,"Sep 10, 3:42 am",add,Hollywood Brown,WR,KC,Waivers,Never Starting Najee,Waiver
2025,"Sep 10, 3:42 am",add,Juwan Johnson,TE,NO,Waivers,Belichick Daycare Centre,Waiver
2025,"Sep 10, 3:42 am",add,Kayshon Boutte,WR,NE,Waivers,Whole lotta Hurts,Waiver
2025,"Sep 10, 3:42 am",add,Keenan Allen,WR,LAC,Waivers,Drake it til you make it,Waiver
